species,id,stomatal_conducatance,light_adapted_flourescence,date
rhov,42,0.05,,3/27/2022
rhov,24,0.066,,3/27/2022
rhov,24,0.101,,3/27/2022
rhov,24,0.081,,3/27/2022
rhov,41,0.055,,3/27/2022
rhov,41,0.151,,3/27/2022
rhov,41,0.081,,3/27/2022
rhov,38,0.046,,3/27/2022
rhov,38,0.108,,3/27/2022
rhov,38,0.055,,3/27/2022
ceol,1,0.071,,3/27/2022
ceol,1,0.081,,3/27/2022
ceol,1,0.085,,3/27/2022
ceol,17,0.255,,3/27/2022
ceol,17,0.025,,3/27/2022
ceol,17,0.14,,3/27/2022
ceol,13,0.108,,3/27/2022
ceol,13,0.103,,3/27/2022
ceol,13,0.273,,3/27/2022
ceol,14,0.129,,3/27/2022
ceol,14,0.117,,3/27/2022
ceol,14,0.222,,3/27/2022
hear,12,0.182,,3/27/2022
hear,12,0.066,,3/27/2022
hear,12,0.157,,3/27/2022
hear,18,0.092,,3/29/2022
hear,18,0.006,,3/29/2022
hear,14,0.046,,3/29/2022
hear,14,0.028,,3/29/2022
hear,14,0.016,,3/29/2022
hear,10,0.052,,3/29/2022
hear,10,0.075,,3/29/2022
hear,10,0.061,,3/29/2022
hear,13,0.087,,3/29/2022
hear,13,0.117,,3/29/2022
hear,13,0.064,,3/29/2022
hear,25,0.039,,3/29/2022
hear,25,0.022,,3/29/2022
hear,25,0.021,,3/29/2022
hear,21,0.013,,3/29/2022
hear,2,0.061,,3/29/2022
hear,2,0.12,,3/29/2022
hear,2,0.069,,3/29/2022
hear,9,0.131,,3/29/2022
hear,9,0.105,,3/29/2022
hear,9,0.069,,3/29/2022
ceol,17,0.121,,3/29/2022
ceol,17,0.217,,3/29/2022
ceol,17,0.048,,3/29/2022
ceol,14,0.127,,3/29/2022
ceol,14,0.267,,3/29/2022
ceol,14,0.04,,3/29/2022
ceol,21,0.043,,3/29/2022
ceol,21,0.052,,3/29/2022
ceol,21,0.046,,3/29/2022
ceol,1,0.081,,3/29/2022
ceol,1,0.051,,3/29/2022
ceol,1,0.043,,3/29/2022
ceol,12,0.065,,3/29/2022
ceol,12,0.041,,3/29/2022
ceol,12,0.062,,3/29/2022
ceol,20,0.177,,3/29/2022
ceol,20,0.149,,3/29/2022
ceol,20,0.186,,3/29/2022
ceol,10,0.044,,3/29/2022
ceol,10,0.086,,3/29/2022
ceol,10,0.048,,3/29/2022
rhov,11,0.124,,3/29/2022
rhov,11,0.075,,3/29/2022
rhov,11,0.062,,3/29/2022
rhov,42,0.03,,3/29/2022
rhov,42,0.059,,3/29/2022
rhov,42,0.032,,3/29/2022
rhov,34,0.132,,3/29/2022
rhov,34,0.152,,3/29/2022
rhov,34,0.135,,3/29/2022
rhov,38,0.031,,3/29/2022
rhov,38,0.087,,3/29/2022
rhov,38,0.06,,3/29/2022
rhov,39,0.056,,3/29/2022
rhov,39,0.044,,3/29/2022
rhov,39,0.079,,3/29/2022
rhov,46,0.114,,3/29/2022
rhov,46,0.074,,3/29/2022
rhov,46,0.108,,3/29/2022
rhov,41,0.082,,3/29/2022
rhov,41,0.075,,3/29/2022
rhov,41,0.039,,3/29/2022
hear,8,0.085,,3/29/2022
hear,8,0.091,,3/29/2022
hear,8,0.098,,3/29/2022
hear,6,0.068,,3/29/2022
hear,6,0.068,,3/29/2022
hear,6,0.07,,3/29/2022
hear,18,0.035,,3/29/2022
ceol,28,0.307,,3/29/2022
ceol,28,0.398,,3/29/2022
ceol,28,0.485,,3/29/2022
ceol,18,0.22,,3/29/2022
ceol,18,0.29,,3/29/2022
ceol,18,0.394,,3/29/2022
ceol,25,0.103,,3/29/2022
ceol,25,0.073,,3/29/2022
ceol,25,0.085,,3/29/2022
ceol,31,0.19,,3/29/2022
ceol,31,0.173,,3/29/2022
ceol,31,0.261,,3/29/2022
ceol,45,0.365,,3/29/2022
ceol,45,0.307,,3/29/2022
ceol,45,0.283,,3/29/2022
ceol,5,0.163,,3/29/2022
ceol,5,0.148,,3/29/2022
ceol,5,0.171,,3/29/2022
ceol,29,0.345,,3/29/2022
ceol,29,0.365,,3/29/2022
ceol,29,0.371,,3/29/2022
rhov,9,0.065,,3/29/2022
rhov,9,0.107,,3/29/2022
rhov,9,0.02,,3/29/2022
rhov,48,0.038,,3/29/2022
rhov,48,0.048,,3/29/2022
rhov,48,0.032,,3/29/2022
rhov,44,0.011,,3/29/2022
rhov,44,0.022,,3/29/2022
rhov,44,0.058,,3/29/2022
rhov,56,0.066,,3/29/2022
rhov,56,0.088,,3/29/2022
rhov,56,0.053,,3/29/2022
rhov,10,0.015,,3/29/2022
rhov,10,0.058,,3/29/2022
rhov,10,0.01,,3/29/2022
rhov,51,0.102,,3/29/2022
rhov,51,0.088,,3/29/2022
rhov,51,0.033,,3/29/2022
rhov,21,0.127,,3/29/2022
rhov,21,0.035,,3/29/2022
rhov,21,0.064,,3/29/2022
hear,15,0.112,,3/29/2022
hear,15,0.097,,3/29/2022
hear,15,0.127,,3/29/2022
hear,4,0.065,,3/29/2022
hear,4,0.035,,3/29/2022
hear,4,0.078,,3/29/2022
hear,3,0.202,,3/29/2022
hear,3,0.15,,3/29/2022
hear,3,0.246,,3/29/2022
hear,24,0.105,,3/29/2022
hear,24,0.087,,3/29/2022
hear,24,0.133,,3/29/2022
hear,21,0.058,,3/29/2022
hear,21,0.04,,3/29/2022
rhov,42,0.042,,4/2/2022
rhov,42,0.03,,4/2/2022
rhov,34,0.093,,4/2/2022
rhov,34,0.084,,4/2/2022
rhov,34,0.068,,4/2/2022
rhov,38,0.039,,4/2/2022
rhov,38,0.083,,4/2/2022
rhov,38,0.066,,4/2/2022
rhov,31,0.086,,4/2/2022
rhov,31,0.088,,4/2/2022
rhov,31,0.057,,4/2/2022
rhov,15,0.018,,4/2/2022
rhov,15,0.051,,4/2/2022
rhov,15,0.033,,4/2/2022
hear,10,0.108,,4/2/2022
hear,10,0.07,,4/2/2022
hear,10,0.026,,4/2/2022
hear,14,0.049,,4/2/2022
hear,14,0.15,,4/2/2022
hear,14,0.028,,4/2/2022
hear,6,0.091,,4/2/2022
hear,6,0.077,,4/2/2022
hear,6,0.051,,4/2/2022
hear,8,0.126,,4/2/2022
hear,8,0.067,,4/2/2022
hear,8,0.065,,4/2/2022
hear,18,0.042,,4/2/2022
hear,18,0.055,,4/2/2022
ceol,20,0.077,,4/2/2022
ceol,20,0.13,,4/2/2022
ceol,20,0.113,,4/2/2022
ceol,12,0.069,,4/2/2022
ceol,12,0.061,,4/2/2022
ceol,12,0.073,,4/2/2022
ceol,17,0.052,,4/2/2022
ceol,17,0.059,,4/2/2022
ceol,17,0.055,,4/2/2022
ceol,1,0.078,,4/2/2022
ceol,1,0.062,,4/2/2022
ceol,1,0.068,,4/2/2022
ceol,21,0.057,,4/2/2022
ceol,21,0.078,,4/2/2022
ceol,21,0.079,,4/2/2022
ceol,8,0.056,,4/2/2022
ceol,8,0.065,,4/2/2022
ceol,8,0.063,,4/2/2022
ceol,40,0.077,,4/2/2022
ceol,40,0.045,,4/2/2022
ceol,40,0.059,,4/2/2022
rhov,39,0.017,,4/2/2022
rhov,39,0.04,,4/2/2022
rhov,39,0.092,,4/2/2022
rhov,11,0.094,,4/2/2022
rhov,11,0.058,,4/2/2022
rhov,11,0.096,,4/2/2022
rhov,42,0.023,,4/2/2022
rhov,9,0.032,,4/2/2022
rhov,9,0.085,,4/2/2022
rhov,9,0.049,,4/2/2022
rhov,10,0.047,,4/2/2022
rhov,10,0.049,,4/2/2022
rhov,10,0.039,,4/2/2022
rhov,48,0.011,,4/2/2022
rhov,48,0.044,,4/2/2022
rhov,48,0.045,,4/2/2022
rhov,50,0.055,,4/2/2022
rhov,50,0.05,,4/2/2022
rhov,50,0.033,,4/2/2022
rhov,44,0.026,,4/2/2022
rhov,44,0.038,,4/2/2022
rhov,44,0.044,,4/2/2022
rhov,12,0.039,,4/2/2022
rhov,12,0.026,,4/2/2022
rhov,12,0.044,,4/2/2022
rhov,51,0.056,,4/2/2022
rhov,51,0.073,,4/2/2022
rhov,51,0.083,,4/2/2022
hear,21,0.036,,4/2/2022
hear,21,0.04,,4/2/2022
hear,21,0.012,,4/2/2022
hear,15,0.197,,4/2/2022
hear,15,0.047,,4/2/2022
hear,15,0.103,,4/2/2022
hear,4,0.084,,4/2/2022
hear,18,0.042,,4/2/2022
hear,22,0.117,,4/2/2022
hear,22,0.078,,4/2/2022
hear,22,0.061,,4/2/2022
hear,16,0.17,,4/2/2022
hear,16,0.089,,4/2/2022
hear,16,0.041,,4/2/2022
ceol,31,0.409,,4/2/2022
ceol,31,0.275,,4/2/2022
ceol,31,0.231,,4/2/2022
ceol,25,0.136,,4/2/2022
ceol,25,0.104,,4/2/2022
ceol,25,0.205,,4/2/2022
ceol,28,0.387,,4/2/2022
ceol,28,0.134,,4/2/2022
ceol,28,0.325,,4/2/2022
ceol,18,0.367,,4/2/2022
ceol,18,0.242,,4/2/2022
ceol,18,0.228,,4/2/2022
ceol,45,0.305,,4/2/2022
ceol,45,0.289,,4/2/2022
ceol,45,0.258,,4/2/2022
ceol,47,0.204,,4/2/2022
ceol,47,0.118,,4/2/2022
ceol,47,0.194,,4/2/2022
ceol,43,0.441,,4/2/2022
ceol,43,0.227,,4/2/2022
ceol,43,0.281,,4/2/2022
hear,4,0.054,,4/2/2022
hear,4,0.064,,4/2/2022
hear,24,0.127,,4/2/2022
hear,24,0.054,,4/2/2022
hear,24,0.08,,4/2/2022
hear,3,0.184,,4/2/2022
hear,3,0.137,,4/2/2022
hear,3,0.198,,4/2/2022
hear,9,0.161,,4/2/2022
hear,9,0.135,,4/2/2022
hear,9,0.061,,4/2/2022
hear,2,0.107,,4/2/2022
hear,2,0.067,,4/2/2022
hear,2,0.044,,4/2/2022
